,yearID,teamID,G,W,WSWin,R,H,SB,ER,E
807,1926,NY1,151,74,N,663,1435,94.0,562,186
808,1926,NYA,155,91,N,847,1508,79.0,588,209
809,1926,PHA,150,83,N,677,1359,56.0,449,173
810,1926,PHI,152,58,N,687,1479,47.0,746,223
811,1926,PIT,157,84,N,769,1514,91.0,562,220
813,1926,SLN,156,89,Y,817,1541,83.0,570,198
814,1926,WS1,152,81,N,802,1525,122.0,650,184
815,1927,BOS,154,51,N,597,1348,82.0,716,222
818,1927,CHA,153,70,N,662,1433,90.0,594,180
819,1927,CHN,153,85,N,750,1505,65.0,562,181
820,1927,CIN,153,75,N,643,1439,62.0,538,165
821,1927,CLE,153,66,N,668,1471,63.0,642,202
822,1927,DET,156,82,N,845,1533,141.0,638,209
823,1927,NY1,155,92,N,817,1594,73.0,609,195
824,1927,NYA,155,110,Y,975,1644,90.0,494,196
825,1927,PHA,155,91,N,841,1606,98.0,610,194
826,1927,PHI,155,51,N,678,1487,68.0,807,168
827,1927,PIT,156,94,N,817,1648,65.0,563,187
829,1927,SLN,153,92,N,754,1450,110.0,542,213
830,1927,WS1,157,85,N,782,1549,133.0,618,194
831,1928,BOS,154,57,N,589,1356,99.0,659,172
832,1928,BRO,155,77,N,665,1393,81.0,504,217
833,1928,BSN,153,50,N,631,1439,60.0,730,193
834,1928,CHA,155,72,N,656,1405,139.0,609,184
835,1928,CHN,154,91,N,714,1460,83.0,521,156
836,1928,CIN,153,78,N,648,1449,83.0,600,162
837,1928,CLE,155,62,N,674,1535,50.0,684,221
838,1928,DET,154,68,N,744,1476,113.0,659,212
839,1928,NY1,155,93,N,807,1600,62.0,568,178
840,1928,NYA,154,101,Y,894,1578,51.0,571,199
841,1928,PHA,153,98,N,829,1540,59.0,510,183
842,1928,PHI,152,43,N,660,1396,53.0,835,179
843,1928,PIT,152,85,N,837,1659,64.0,594,201
844,1928,SLA,154,82,N,772,1431,76.0,637,184
845,1928,SLN,154,95,N,807,1505,82.0,531,152
846,1928,WS1,155,75,N,718,1510,110.0,597,180
847,1929,BOS,155,58,N,605,1377,85.0,672,218
848,1929,BRO,153,70,N,755,1535,80.0,742,192
849,1929,BSN,154,56,N,657,1481,65.0,769,204
850,1929,CHA,152,59,N,627,1406,109.0,665,190
851,1929,CHN,156,98,N,982,1655,103.0,646,154
852,1929,CIN,155,66,N,686,1478,134.0,671,162
853,1929,CLE,152,81,N,717,1525,75.0,608,198
855,1929,NY1,152,84,N,897,1594,85.0,605,158
856,1929,NYA,154,88,N,899,1587,51.0,636,179
857,1929,PHA,151,104,Y,901,1539,61.0,519,148
858,1929,PHI,154,71,N,897,1693,59.0,918,189
859,1929,PIT,154,88,N,904,1663,94.0,668,181
860,1929,SLA,154,79,N,733,1426,72.0,622,156
861,1929,SLN,154,78,N,831,1569,72.0,704,174
862,1929,WS1,153,71,N,730,1445,86.0,653,191
863,1930,BOS,154,52,N,612,1393,42.0,707,194
864,1930,BRO,154,86,N,871,1654,53.0,614,169
865,1930,BSN,154,70,N,693,1503,69.0,743,178
867,1930,CHN,156,90,N,998,1722,70.0,748,170
868,1930,CIN,154,59,N,665,1475,48.0,754,161
870,1930,DET,154,75,N,783,1504,98.0,706,188
871,1930,NY1,154,87,N,959,1769,59.0,698,164
872,1930,NYA,154,86,N,1062,1683,91.0,741,208
873,1930,PHA,154,102,Y,951,1573,48.0,652,145
875,1930,PIT,154,80,N,891,1622,76.0,792,216
876,1930,SLA,154,64,N,751,1415,93.0,772,189
877,1930,SLN,154,92,N,1004,1732,72.0,673,183
878,1930,WS1,154,94,N,892,1620,101.0,602,155
